CD_MemberList_LogSize,CD_MemberList_Size,name,shared name
12.621,6301,C6664,C6664
5.492,45,C6372,C6372
5.426,43,C6373,C6373
5.392,42,C6374,C6374
5.285,39,C6375,C6375
5.248,38,C6376,C6376
5.209,37,C6377,C6377
5.209,37,C6378,C6378
5.209,37,C6379,C6379
5.209,37,C6380,C6380
5.209,37,C6381,C6381
5.17,36,C6382,C6382
5.17,36,C6383,C6383
5.129,35,C6384,C6384
5.129,35,C6385,C6385
5.129,35,C6386,C6386
5.129,35,C6387,C6387
5.129,35,C6388,C6388
5.129,35,C6389,C6389
5.129,35,C6390,C6390
5.129,35,C6391,C6391
5.087,34,C6392,C6392
5.044,33,C6393,C6393
5.044,33,C6394,C6394
5.0,32,C6395,C6395
5.0,32,C6396,C6396
5.0,32,C6397,C6397
5.0,32,C6398,C6398
5.0,32,C6399,C6399
5.0,32,C6400,C6400
5.0,32,C6401,C6401
4.954,31,C6402,C6402
4.954,31,C6403,C6403
4.954,31,C6404,C6404
4.954,31,C6405,C6405
4.954,31,C6406,C6406
4.954,31,C6407,C6407
4.954,31,C6408,C6408
4.954,31,C6409,C6409
4.954,31,C6410,C6410
4.954,31,C6411,C6411
4.954,31,C6412,C6412
4.907,30,C6413,C6413
4.907,30,C6414,C6414
4.907,30,C6415,C6415
4.907,30,C6416,C6416
4.907,30,C6417,C6417
4.907,30,C6418,C6418
4.907,30,C6419,C6419
4.858,29,C6420,C6420
4.858,29,C6421,C6421
4.858,29,C6422,C6422
4.858,29,C6423,C6423
4.858,29,C6424,C6424
4.858,29,C6425,C6425
4.858,29,C6426,C6426
4.858,29,C6427,C6427
4.807,28,C6428,C6428
4.807,28,C6429,C6429
4.807,28,C6430,C6430
4.807,28,C6431,C6431
4.807,28,C6432,C6432
4.807,28,C6433,C6433
4.807,28,C6434,C6434
4.807,28,C6435,C6435
4.807,28,C6436,C6436
4.807,28,C6437,C6437
4.807,28,C6438,C6438
4.807,28,C6439,C6439
4.755,27,C6440,C6440
4.755,27,C6441,C6441
4.755,27,C6442,C6442
4.755,27,C6443,C6443
4.755,27,C6444,C6444
4.755,27,C6445,C6445
4.755,27,C6446,C6446
4.755,27,C6447,C6447
4.755,27,C6448,C6448
4.755,27,C6449,C6449
4.7,26,C6450,C6450
4.7,26,C6451,C6451
4.7,26,C6452,C6452
4.7,26,C6453,C6453
4.7,26,C6454,C6454
4.7,26,C6455,C6455
4.7,26,C6456,C6456
4.7,26,C6457,C6457
4.644,25,C6458,C6458
4.644,25,C6459,C6459
4.644,25,C6460,C6460
4.644,25,C6461,C6461
4.644,25,C6462,C6462
4.644,25,C6463,C6463
4.644,25,C6464,C6464
4.644,25,C6465,C6465
4.644,25,C6466,C6466
4.585,24,C6467,C6467
4.585,24,C6468,C6468
4.585,24,C6469,C6469
4.585,24,C6470,C6470
4.585,24,C6471,C6471
4.585,24,C6472,C6472
4.585,24,C6473,C6473
4.585,24,C6474,C6474
4.585,24,C6475,C6475
4.585,24,C6476,C6476
4.585,24,C6477,C6477
4.585,24,C6478,C6478
4.585,24,C6479,C6479
4.585,24,C6480,C6480
4.585,24,C6481,C6481
4.585,24,C6482,C6482
4.585,24,C6483,C6483
4.585,24,C6484,C6484
4.585,24,C6485,C6485
4.585,24,C6486,C6486
4.585,24,C6487,C6487
4.585,24,C6488,C6488
4.524,23,C6489,C6489
4.524,23,C6490,C6490
4.524,23,C6491,C6491
4.524,23,C6492,C6492
4.524,23,C6493,C6493
4.524,23,C6494,C6494
4.524,23,C6495,C6495
4.524,23,C6496,C6496
4.524,23,C6497,C6497
4.459,22,C6498,C6498
4.459,22,C6499,C6499
4.459,22,C6500,C6500
4.459,22,C6501,C6501
4.459,22,C6502,C6502
4.459,22,C6503,C6503
4.459,22,C6504,C6504
4.459,22,C6505,C6505
4.459,22,C6506,C6506
4.459,22,C6507,C6507
4.459,22,C6508,C6508
4.459,22,C6509,C6509
4.392,21,C6510,C6510
4.392,21,C6511,C6511
4.392,21,C6512,C6512
4.392,21,C6513,C6513
4.392,21,C6514,C6514
4.392,21,C6515,C6515
4.392,21,C6516,C6516
4.392,21,C6517,C6517
4.392,21,C6518,C6518
4.392,21,C6519,C6519
4.322,20,C6520,C6520
4.322,20,C6521,C6521
4.322,20,C6522,C6522
4.322,20,C6523,C6523
4.322,20,C6524,C6524
4.322,20,C6525,C6525
4.322,20,C6526,C6526
4.322,20,C6527,C6527
4.322,20,C6528,C6528
4.322,20,C6529,C6529
4.322,20,C6530,C6530
4.322,20,C6531,C6531
4.322,20,C6532,C6532
4.322,20,C6533,C6533
4.322,20,C6534,C6534
4.322,20,C6535,C6535
4.322,20,C6536,C6536
4.322,20,C6537,C6537
4.322,20,C6538,C6538
4.248,19,C6539,C6539
4.248,19,C6540,C6540
4.248,19,C6541,C6541
4.248,19,C6542,C6542
4.248,19,C6543,C6543
4.248,19,C6544,C6544
4.248,19,C6545,C6545
4.248,19,C6546,C6546
4.248,19,C6547,C6547
4.248,19,C6548,C6548
4.248,19,C6549,C6549
4.248,19,C6550,C6550
4.248,19,C6551,C6551
4.248,19,C6552,C6552
4.248,19,C6553,C6553
4.248,19,C6554,C6554
4.248,19,C6555,C6555
4.248,19,C6556,C6556
4.248,19,C6557,C6557
4.248,19,C6558,C6558
4.248,19,C6559,C6559
4.248,19,C6560,C6560
4.17,18,C6561,C6561
4.17,18,C6562,C6562
4.17,18,C6563,C6563
4.17,18,C6564,C6564
4.17,18,C6565,C6565
4.17,18,C6566,C6566
4.17,18,C6567,C6567
4.17,18,C6568,C6568
4.17,18,C6569,C6569
4.17,18,C6570,C6570
4.17,18,C6571,C6571
4.17,18,C6572,C6572
4.17,18,C6573,C6573
4.17,18,C6574,C6574
4.17,18,C6575,C6575
4.087,17,C6576,C6576
4.087,17,C6577,C6577
4.087,17,C6578,C6578
4.087,17,C6579,C6579
4.087,17,C6580,C6580
4.087,17,C6581,C6581
4.087,17,C6582,C6582
4.087,17,C6583,C6583
4.087,17,C6584,C6584
4.087,17,C6585,C6585
4.087,17,C6586,C6586
4.087,17,C6587,C6587
4.087,17,C6588,C6588
4.087,17,C6589,C6589
4.0,16,C6590,C6590
4.0,16,C6591,C6591
4.0,16,C6592,C6592
4.0,16,C6593,C6593
4.0,16,C6594,C6594
4.0,16,C6595,C6595
4.0,16,C6596,C6596
4.0,16,C6597,C6597
4.0,16,C6598,C6598
3.907,15,C6599,C6599
3.907,15,C6600,C6600
3.907,15,C6601,C6601
3.907,15,C6602,C6602
3.907,15,C6603,C6603
3.907,15,C6604,C6604
3.907,15,C6605,C6605
3.907,15,C6606,C6606
3.907,15,C6607,C6607
3.907,15,C6608,C6608
3.907,15,C6609,C6609
3.907,15,C6610,C6610
3.807,14,C6611,C6611
3.807,14,C6612,C6612
3.807,14,C6613,C6613
3.807,14,C6614,C6614
3.807,14,C6615,C6615
3.807,14,C6616,C6616
3.807,14,C6617,C6617
3.807,14,C6618,C6618
3.807,14,C6619,C6619
3.7,13,C6620,C6620
3.7,13,C6621,C6621
3.7,13,C6622,C6622
3.7,13,C6623,C6623
3.7,13,C6624,C6624
3.7,13,C6625,C6625
3.7,13,C6626,C6626
3.7,13,C6627,C6627
3.585,12,C6628,C6628
3.585,12,C6629,C6629
3.585,12,C6630,C6630
3.585,12,C6631,C6631
3.585,12,C6632,C6632
3.459,11,C6633,C6633
3.459,11,C6634,C6634
3.459,11,C6635,C6635
3.459,11,C6636,C6636
3.459,11,C6637,C6637
3.459,11,C6638,C6638
3.459,11,C6639,C6639
3.459,11,C6640,C6640
3.459,11,C6641,C6641
3.459,11,C6642,C6642
3.322,10,C6643,C6643
3.322,10,C6644,C6644
3.322,10,C6645,C6645
3.322,10,C6646,C6646
3.322,10,C6647,C6647
3.322,10,C6648,C6648
3.322,10,C6649,C6649
3.322,10,C6650,C6650
3.17,9,C6651,C6651
3.17,9,C6652,C6652
3.17,9,C6653,C6653
3.17,9,C6654,C6654
3.17,9,C6655,C6655
3.0,8,C6656,C6656
3.0,8,C6657,C6657
2.807,7,C6658,C6658
2.585,6,C6659,C6659
2.585,6,C6660,C6660
2.585,6,C6661,C6661
2.0,4,C6662,C6662
1.0,2,C6663,C6663